date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-01-23,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-01-24,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-01-25,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-01-26,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-01-27,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-01-28,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-01-29,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-01-30,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-01-31,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-01,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-02,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-03,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-04,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-05,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-06,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-07,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-08,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-09,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-10,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-11,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-12,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-13,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-14,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-15,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-16,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-17,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-18,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-19,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-20,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-21,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-22,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-23,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-24,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-25,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-26,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-27,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-28,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-02-29,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-03-01,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
2020-03-02,Oregon,Benton,41003.0,0,0,0.0,0.0,0,0,0,70835.0,279141
