date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-01-23,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-01-24,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-01-25,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-01-26,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-01-27,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-01-28,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-01-29,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-01-30,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-01-31,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-01,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-02,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-03,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-04,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-05,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-06,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-07,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-08,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-09,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-10,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-11,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-12,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-13,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
2020-02-14,Wyoming,Niobrara,56027.0,0,0,0.0,0.0,1,1,0,2826.217391304348,2356
