date,state,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-01-23,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-01-24,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-01-25,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-01-26,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-01-27,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-01-28,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-01-29,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-01-30,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-01-31,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-01,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-02,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-03,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-04,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-05,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-06,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-07,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-08,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-09,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-10,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-11,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-12,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-13,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-14,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-15,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-16,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-17,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-18,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-19,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-20,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-21,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-22,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-23,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-24,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-25,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-26,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-27,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-28,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-02-29,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-01,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-02,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-03,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-04,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-05,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-06,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-07,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-08,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-09,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-10,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-11,North Dakota,0.0,0,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-12,North Dakota,0.0,1,0,1.0,0.0,24,23,1,64577.0,762062
2020-03-13,North Dakota,0.0,1,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-14,North Dakota,0.0,1,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-15,North Dakota,0.0,1,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-16,North Dakota,0.0,1,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-17,North Dakota,0.0,3,0,2.0,0.0,24,23,1,64577.0,762062
2020-03-18,North Dakota,0.0,6,0,3.0,0.0,24,23,1,64577.0,762062
2020-03-19,North Dakota,0.0,19,0,13.0,0.0,24,23,1,64577.0,762062
2020-03-20,North Dakota,0.0,26,0,7.0,0.0,24,23,1,64577.0,762062
2020-03-21,North Dakota,0.0,28,0,2.0,0.0,24,23,1,64577.0,762062
2020-03-22,North Dakota,0.0,28,0,0.0,0.0,24,23,1,64577.0,762062
2020-03-23,North Dakota,0.0,30,0,2.0,0.0,24,23,1,64577.0,762062
2020-03-24,North Dakota,0.0,36,0,6.0,0.0,24,23,1,64577.0,762062
2020-03-25,North Dakota,0.0,45,0,9.0,0.0,24,23,1,64577.0,762062
2020-03-26,North Dakota,0.0,51,0,6.0,0.0,24,23,1,64577.0,762062
2020-03-27,North Dakota,0.0,68,1,17.0,1.0,24,23,1,64577.0,762062
2020-03-28,North Dakota,0.0,94,1,26.0,0.0,24,23,1,64577.0,762062
2020-03-29,North Dakota,0.0,98,1,4.0,0.0,24,23,1,64577.0,762062
2020-03-30,North Dakota,0.0,109,2,11.0,1.0,24,23,1,64577.0,762062
2020-03-31,North Dakota,0.0,122,3,13.0,1.0,24,23,1,64577.0,762062
2020-04-01,North Dakota,0.0,142,3,20.0,0.0,24,23,1,64577.0,762062
2020-04-02,North Dakota,0.0,159,3,17.0,0.0,24,23,1,64577.0,762062
2020-04-03,North Dakota,0.0,173,3,14.0,0.0,24,23,1,64577.0,762062
2020-04-04,North Dakota,0.0,186,3,13.0,0.0,24,23,1,64577.0,762062
2020-04-05,North Dakota,0.0,207,3,21.0,0.0,24,23,1,64577.0,762062
2020-04-06,North Dakota,0.0,225,3,18.0,0.0,24,23,1,64577.0,762062
2020-04-07,North Dakota,0.0,237,4,12.0,1.0,24,23,1,64577.0,762062
2020-04-08,North Dakota,0.0,251,4,14.0,0.0,24,23,1,64577.0,762062
2020-04-09,North Dakota,0.0,269,5,18.0,1.0,24,23,1,64577.0,762062
2020-04-10,North Dakota,0.0,278,6,9.0,1.0,24,23,1,64577.0,762062
2020-04-11,North Dakota,0.0,293,7,15.0,1.0,24,23,1,64577.0,762062
2020-04-12,North Dakota,0.0,308,7,15.0,0.0,24,23,1,64577.0,762062
2020-04-13,North Dakota,0.0,331,8,23.0,1.0,24,23,1,64577.0,762062
2020-04-14,North Dakota,0.0,341,8,10.0,0.0,24,23,1,64577.0,762062
2020-04-15,North Dakota,0.0,365,9,24.0,1.0,24,23,1,64577.0,762062
2020-04-16,North Dakota,0.0,393,9,28.0,0.0,24,23,1,64577.0,762062
2020-04-17,North Dakota,0.0,393,9,0.0,0.0,24,23,1,64577.0,762062
2020-04-18,North Dakota,0.0,528,9,135.0,0.0,24,23,1,64577.0,762062
2020-04-19,North Dakota,0.0,585,9,57.0,0.0,24,23,1,64577.0,762062
2020-04-20,North Dakota,0.0,627,9,42.0,0.0,24,23,1,64577.0,762062
2020-04-21,North Dakota,0.0,644,13,17.0,4.0,24,23,1,64577.0,762062
2020-04-22,North Dakota,0.0,679,14,35.0,1.0,24,23,1,64577.0,762062
2020-04-23,North Dakota,0.0,709,15,30.0,1.0,24,23,1,64577.0,762062
2020-04-24,North Dakota,0.0,748,15,39.0,0.0,24,23,1,64577.0,762062
2020-04-25,North Dakota,0.0,803,16,55.0,1.0,24,23,1,64577.0,762062
2020-04-26,North Dakota,0.0,867,17,64.0,1.0,24,23,1,64577.0,762062
2020-04-27,North Dakota,0.0,942,19,75.0,2.0,24,23,1,64577.0,762062
2020-04-28,North Dakota,0.0,991,19,49.0,0.0,24,23,1,64577.0,762062
2020-04-29,North Dakota,0.0,1033,19,42.0,0.0,24,23,1,64577.0,762062
2020-04-30,North Dakota,0.0,1067,19,34.0,0.0,24,23,1,64577.0,762062
2020-05-01,North Dakota,0.0,1107,23,40.0,4.0,24,23,1,64577.0,762062
2020-05-02,North Dakota,0.0,1153,24,46.0,1.0,24,23,1,64577.0,762062
2020-05-03,North Dakota,0.0,1191,25,38.0,1.0,24,23,1,64577.0,762062
2020-05-04,North Dakota,0.0,1225,25,34.0,0.0,24,23,1,64577.0,762062
2020-05-05,North Dakota,0.0,1266,25,41.0,0.0,24,23,1,64577.0,762062
2020-05-06,North Dakota,0.0,1323,31,57.0,6.0,24,23,1,64577.0,762062
2020-05-07,North Dakota,0.0,1371,31,48.0,0.0,24,23,1,64577.0,762062
2020-05-08,North Dakota,0.0,1425,33,54.0,2.0,24,23,1,64577.0,762062
2020-05-09,North Dakota,0.0,1464,35,39.0,2.0,24,23,1,64577.0,762062
2020-05-10,North Dakota,0.0,1491,35,27.0,0.0,24,23,1,64577.0,762062
2020-05-11,North Dakota,0.0,1518,36,27.0,1.0,24,23,1,64577.0,762062
2020-05-12,North Dakota,0.0,1571,38,53.0,2.0,24,23,1,64577.0,762062
2020-05-13,North Dakota,0.0,1647,40,76.0,2.0,24,23,1,64577.0,762062
2020-05-14,North Dakota,0.0,1712,40,65.0,0.0,24,23,1,64577.0,762062
2020-05-15,North Dakota,0.0,1761,42,49.0,2.0,24,23,1,64577.0,762062
2020-05-16,North Dakota,0.0,1848,42,87.0,0.0,24,23,1,64577.0,762062
2020-05-17,North Dakota,0.0,1900,43,52.0,1.0,24,23,1,64577.0,762062
2020-05-18,North Dakota,0.0,1931,44,31.0,1.0,24,23,1,64577.0,762062
2020-05-19,North Dakota,0.0,1994,45,63.0,1.0,24,23,1,64577.0,762062
2020-05-20,North Dakota,0.0,2095,49,101.0,4.0,24,23,1,64577.0,762062
2020-05-21,North Dakota,0.0,2229,51,134.0,2.0,24,23,1,64577.0,762062
2020-05-22,North Dakota,0.0,2317,52,88.0,1.0,24,23,1,64577.0,762062
2020-05-23,North Dakota,0.0,2365,52,48.0,0.0,24,23,1,64577.0,762062
2020-05-24,North Dakota,0.0,2418,53,53.0,1.0,24,23,1,64577.0,762062
